Duration,ResponseId,Policy_politics,Policy_complexity,Emotion,Video_DO,Policy_DO,Importance,New_legislation,Vote_policy,Good_solution,Reasonable_cost,Politically_possible,Reduce_problem,Solve_problem,Morally_justifiable,Policy_pleased,Interested,Distressed,Afraid,Guilty,Angry,Disgusted,Happy,Sad,Anxious,Calm,Surprised,Upset,SEC_abortion,SEC_limited_govt,SEC_security,SEC_religion,SEC_welfare,SEC_gun,SEC_trad_marriage,SEC_trad_values,SEC_fiscal_resp,SEC_business,SEC_family_unit,SEC_patriotism,B5_1,B5_2,B5_3,B5_4,B5_5,B5_6,B5_7,B5_8,B5_9,B5_10,NFC_1,NFC_2,NFC_3,NFC_4,NFC_5,NFC_6,NFC_7,NFC_8,NFC_9,NFC_10,NFC_11,NFC_12,NFC_13,NFC_14,NFC_15,NFC_16,NFC_17,NFC_18,NFC_19,ER_1,ER_2,ER_3,ER_4,ER_5,ER_6,ER_7,ER_8,ER_9,ER_10,ER_11,Gender,Age,Ethnicity,Ethnicity_other,Political_orientation,Political_affiliation,Political_affiliation_other
180,R_3qxTSmeNrGHbDYK,Conservative,Simple,Neutral,V1,S5,6,4,2,2,4,4,2,4,3,4,1,3,1,1,1,1,1,4,5,1,1,3,70,30,30,30,80,20,20,20,20,60,60,20,2,6,4,4,4,6,6,4,6,4,2,3,1,3,3,2,4,3,3,2,3,4,2,3,3,3,4,4,3,4,6,4,2,3,4,4,6,4,7,4,Male,25,Caucasian or White,,Moderate,Democratic Party,
208,R_25ut85amIrza4rS,Liberal,Complex,Neutral,V2,S4,6,6,4,4,4,5,5,1,4,5,2,2,1,2,3,2,1,2,1,1,1,2,90,60,20,20,40,10,30,20,60,20,20,20,5,4,3,4,3,2,2,3,4,3,4,3,2,3,3,2,2,3,4,3,2,3,3,3,4,4,3,2,3,3,3,4,4,5,6,5,6,6,5,4,Male,25,Caucasian or White,,Moderate,Democratic Party,
242,R_3n6su0jxiAKcIOV,Liberal,Complex,Fear,V6,S4,7,6,6,5,5,2,5,4,5,4,2,1,1,1,1,1,2,1,2,2,1,1,60,40,10,0,90,50,20,10,10,10,10,0,2,5,4,4,6,5,4,5,5,2,3,4,2,2,2,3,3,4,3,5,4,2,3,3,4,4,2,1,4,4,5,5,3,5,4,5,6,5,4,5,Male,25,Caucasian or White,,Extremely liberal,No party,
295,R_3fODrBfKutki9y5,Liberal,Simple,Neutral,V2,S3,7,7,7,7,7,7,7,7,7,7,3,1,1,1,1,1,1,1,1,3,1,1,0,100,100,30,100,70,90,100,100,100,100,100,1,1,1,5,1,6,7,6,6,6,1,1,1,1,1,4,5,1,5,5,4,2,5,3,1,1,4,1,5,7,7,7,1,7,7,7,6,7,7,7,Male,27,Caucasian or White,,Moderate,Republican Party,
179,R_3dXs2Y2jTXqbbJC,Liberal,Simple,Neutral,V1,S3,6,6,7,7,6,4,4,3,4,4,4,1,1,1,1,1,4,1,1,5,1,1,50,0,40,0,50,0,50,50,70,0,50,30,1,1,7,1,5,7,5,1,7,1,3,3,2,2,2,4,1,5,5,3,3,1,1,3,3,3,2,1,4,7,6,7,4,7,5,7,6,7,4,7,Male,37,Caucasian or White,,Moderate,Democratic Party,
300,R_2yezFoYbMzrZHmd,Conservative,Complex,Anger,V3,S8,7,7,1,1,1,1,1,1,1,1,1,5,5,1,5,5,1,3,4,1,1,4,20,20,30,20,100,50,30,30,70,20,40,70,1,4,5,6,7,6,5,6,5,4,4,5,1,4,4,4,3,4,4,3,4,3,4,3,4,3,1,1,4,4,6,6,6,4,6,4,6,4,6,4,Male,30,African American or Black,,Extremely liberal,Democratic Party,
323,R_2yqj9if298ocvaN,Conservative,Complex,Anger,V3,S8,7,4,1,1,4,3,1,1,1,1,2,4,4,1,4,4,1,4,4,1,1,4,60,50,40,0,80,50,0,0,50,50,40,0,4,3,5,5,6,5,5,4,4,1,3,3,3,3,3,3,3,3,3,3,3,2,3,3,4,3,4,3,4,5,4,4,1,5,3,5,6,4,3,5,Female,25,Other:,mixed,Extremely liberal,Democratic Party,
290,R_yxU15vR3SPixzxv,Conservative,Simple,Neutral,V1,S5,6,6,6,6,6,6,7,5,6,6,4,1,1,1,1,1,2,1,1,3,1,1,60,20,70,0,40,80,50,50,70,30,100,70,1,5,3,5,3,7,4,4,4,4,2,2,4,4,4,2,4,4,4,2,2,4,2,3,2,2,4,4,2,5,6,4,3,3,6,3,6,3,6,3,Female,35,Caucasian or White,,Moderately conservative,Republican Party,
350,R_rpfIluGOwPuC6Fb,Conservative,Complex,Neutral,V1,S8,5,6,5,4,4,4,5,5,5,5,3,1,1,1,1,1,3,1,1,1,1,1,50,60,100,10,10,50,50,60,80,40,60,30,2,2,6,3,5,4,7,5,6,6,1,3,3,2,2,3,4,3,4,3,4,4,3,3,4,3,4,4,5,4,5,5,6,5,5,6,7,6,6,5,Male,26,Caucasian or White,,Moderate,Libertarian Party,
315,R_xtkSaShEfNAjG5X,Liberal,Simple,Anger,V3,S3,6,5,5,4,3,6,5,4,5,5,4,2,1,3,2,3,1,2,2,1,4,2,20,100,40,90,30,100,80,80,100,90,90,60,2,6,5,6,5,6,3,6,6,1,5,5,1,1,1,5,1,2,1,5,5,1,5,3,5,5,2,2,5,5,6,5,6,5,6,5,6,6,6,5,Male,23,Caucasian or White,,Moderate,Libertarian Party,
